observation_date,IPG3113N
2002-06-01,97.7228
2002-07-01,96.1474
2002-08-01,102.3634
2002-09-01,104.0772
2002-10-01,108.0518
2002-11-01,112.0138
2002-12-01,108.1954
2003-01-01,98.4894
2003-02-01,96.8852
2003-03-01,96.9247
2003-04-01,91.6427
2003-05-01,93.7807
2003-06-01,97.3025
2003-07-01,89.6092
2003-08-01,98.5547
2003-09-01,101.7193
2003-10-01,108.9793
2003-11-01,115.5677
2003-12-01,112.0802
2004-01-01,101.0702
2004-02-01,102.3460
2004-03-01,90.3758
2004-04-01,88.9027
2004-05-01,95.5387
2004-06-01,92.5199
2004-07-01,92.4020
2004-08-01,101.2649
2004-09-01,105.2336
2004-10-01,115.3664
2004-11-01,116.1462
2004-12-01,113.4380
2005-01-01,108.7225
2005-02-01,108.1707
2005-03-01,93.6113
2005-04-01,93.1882
2005-05-01,97.2082
2005-06-01,93.4442
2005-07-01,96.0242
2005-08-01,99.9790
2005-09-01,104.1852
2005-10-01,119.2870
2005-11-01,118.5181
2005-12-01,121.4869
2006-01-01,102.6291
2006-02-01,102.1742
2006-03-01,94.0042
2006-04-01,93.2865
2006-05-01,88.4940
2006-06-01,88.5359
2006-07-01,88.4532
2006-08-01,97.5646
2006-09-01,104.4615
2006-10-01,113.1914
2006-11-01,113.9825
2006-12-01,115.5274
2007-01-01,106.5931
2007-02-01,101.9863
2007-03-01,98.5409
2007-04-01,86.9063
2007-05-01,85.5721
2007-06-01,82.6864
2007-07-01,79.4605
2007-08-01,87.4803
2007-09-01,95.5865
2007-10-01,100.6172
2007-11-01,102.7650
2007-12-01,104.7463
2008-01-01,94.4199
2008-02-01,88.4243
2008-03-01,84.5210
2008-04-01,79.9474
2008-05-01,77.4627
2008-06-01,77.5985
2008-07-01,74.2495
2008-08-01,77.2699
2008-09-01,90.0980
2008-10-01,99.4684
2008-11-01,101.0043
2008-12-01,88.6713
2009-01-01,78.2952
2009-02-01,77.4655
2009-03-01,74.4584
2009-04-01,69.3482
2009-05-01,69.8118
2009-06-01,69.2185
2009-07-01,71.6343
2009-08-01,77.5429
2009-09-01,88.1360
2009-10-01,107.8151
2009-11-01,102.1046
2009-12-01,101.6778
2010-01-01,87.5755
2010-02-01,86.3828
2010-03-01,80.2159
2010-04-01,78.0315
2010-05-01,78.4162
2010-06-01,77.9711
2010-07-01,83.9930
2010-08-01,92.9303
2010-09-01,100.8157
2010-10-01,109.8719
2010-11-01,102.4214
2010-12-01,103.3176
2011-01-01,89.6845
2011-02-01,89.2481
2011-03-01,86.1531
2011-04-01,84.9001
2011-05-01,79.5484
2011-06-01,78.1087
2011-07-01,78.0713
2011-08-01,80.0617
2011-09-01,81.8349
2011-10-01,101.7634
2011-11-01,101.8300
2011-12-01,100.2062
2012-01-01,87.1603
2012-02-01,86.3700
2012-03-01,82.1055
2012-04-01,76.4732
2012-05-01,74.4172
2012-06-01,75.4674
2012-07-01,77.9907
2012-08-01,85.5736
2012-09-01,97.6526
2012-10-01,99.8623
2012-11-01,100.7952
2012-12-01,100.7716
2013-01-01,92.8450
2013-02-01,88.4414
2013-03-01,88.9572
2013-04-01,82.6374
2013-05-01,79.5923
2013-06-01,79.7101
2013-07-01,80.3501
2013-08-01,87.3884
2013-09-01,92.0475
2013-10-01,102.5614
2013-11-01,106.4893
2013-12-01,108.0840
2014-01-01,91.8216
2014-02-01,91.3599
2014-03-01,88.8580
2014-04-01,81.7386
2014-05-01,77.6129
2014-06-01,78.3104
2014-07-01,76.9901
2014-08-01,85.4175
2014-09-01,92.6957
2014-10-01,103.4151
2014-11-01,110.9363
2014-12-01,110.0437
2015-01-01,93.7161
2015-02-01,92.5241
2015-03-01,90.2850
2015-04-01,85.5474
2015-05-01,81.9152
2015-06-01,85.4582
2015-07-01,87.4159
2015-08-01,99.0617
2015-09-01,99.8220
2015-10-01,110.2726
2015-11-01,109.2982
2015-12-01,106.3786
2016-01-01,97.0828
2016-02-01,97.8805
2016-03-01,98.3497
2016-04-01,95.0165
2016-05-01,93.3316
2016-06-01,93.7779
2016-07-01,94.3189
2016-08-01,96.2594
2016-09-01,101.3600
2016-10-01,111.2940
2016-11-01,108.2229
2016-12-01,107.7028
2017-01-01,100.6182
2017-02-01,103.7033
2017-03-01,95.3723
2017-04-01,97.1350
2017-05-01,91.3785
2017-06-01,93.0490
2017-07-01,90.4576
2017-08-01,100.6917
2017-09-01,106.5634
2017-10-01,106.6748
2017-11-01,104.8785
2017-12-01,109.4775
2018-01-01,99.5509
2018-02-01,101.3294
2018-03-01,97.1645
2018-04-01,96.7308
2018-05-01,92.9123
2018-06-01,90.4129
2018-07-01,90.6282
2018-08-01,96.9859
2018-09-01,106.1244
2018-10-01,105.9525
2018-11-01,106.8045
2018-12-01,112.5244
2019-01-01,103.5450
2019-02-01,104.5335
2019-03-01,103.8939
2019-04-01,97.9878
2019-05-01,94.3424
2019-06-01,94.5720
2019-07-01,91.8127
2019-08-01,99.3996
2019-09-01,107.5255
2019-10-01,107.8509
2019-11-01,110.2370
2019-12-01,112.5626
2020-01-01,96.6136
2020-02-01,98.3180
2020-03-01,92.4156
2020-04-01,78.1483
2020-05-01,79.6921
2020-06-01,82.3816
2020-07-01,85.8183
2020-08-01,94.9129
2020-09-01,101.2197
2020-10-01,109.7458
2020-11-01,112.4380
2020-12-01,114.0908
2021-01-01,108.1494
2021-02-01,100.4083
2021-03-01,101.1772
2021-04-01,93.0330
2021-05-01,93.5801
2021-06-01,93.3644
2021-07-01,91.3052
2021-08-01,98.0195
2021-09-01,106.2005
2021-10-01,126.7741
2021-11-01,126.2617
2021-12-01,126.3567
2022-01-01,110.5765
2022-02-01,108.0387
2022-03-01,106.0175
2022-04-01,104.3671
2022-05-01,95.8258
2022-06-01,96.2370
2022-07-01,94.6798
2022-08-01,95.1218
2022-09-01,109.7089
2022-10-01,123.7116
2022-11-01,116.1472
2022-12-01,115.5784
2023-01-01,109.6912
2023-02-01,105.9462
2023-03-01,105.7210
2023-04-01,105.1847
2023-05-01,95.9424
2023-06-01,95.3093
2023-07-01,94.2147
2023-08-01,93.7279
2023-09-01,97.9279
2023-10-01,109.2904
2023-11-01,103.9757
2023-12-01,106.7814
2024-01-01,98.3062
2024-02-01,98.6840
2024-03-01,104.4577
2024-04-01,101.4419
2024-05-01,94.4280
2024-06-01,95.5636
2024-07-01,93.1585
2024-08-01,98.2361
2024-09-01,105.8539
2024-10-01,115.8595
2024-11-01,117.5959
2024-12-01,115.5235
